,doc_id,maturity,vol_1,vol_1_type,average strike price,price_1,price_1_type,price_2,price_2_type,sfas 133 hedge,product_type,instrument_type,price_3,price_3_type,price_4,price_4_type,sfas 133hedge,premiumsreceived,net premiumsreceived ($ inthousands),"sfas 133hedge,",sfas 133 hedge,"sfas 133 hedge,","net premiums received ($ in thousands),",netpremiums($ inmillions),"netpremiums($ inmillions),",netpremiums($ in millions),",,",vol_2,vol_2_type,",,,"
12,CHK20040315,2007,63875000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),basis protectionswaps,,call,Neg0.17,weightedaveragedifferential,No,,,,,,,,,,,,,
13,CHK20040315,2008,64050000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),basis protectionswaps,,call,Neg0.17,weightedaveragedifferential,No,,,,,,,,,,,,,
14,CHK20040315,2009,36500000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),basis protectionswaps,,call,Neg0.16,weightedaveragedifferential,No,,,,,,,,,,,,,
17,CHK20040315,2004,29320000,volume,,5.31,weighted average strikeprice,3.75,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
18,CHK20040315,2005,36500000,volume,,5.31,weighted average strikeprice,3.79,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
19,CHK20040315,2006,7300000,volume,,5.36,weighted average strikeprice,3.75,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
22,CHK20040315,2004,60760000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),call options,6.30,call,,weightedaveragedifferential,No,16766,,,,,,,,,,,,
25,CHK20040315,2004,,volume,,,weighted average strikeprice,,put,,,@,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
32,CHK20040315,2004,4516000,volume,,28.68,weighted average strikeprice,21.76,put,,oil (bbls),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
3,CHK20050309,2005,95355000,volume,,$6.72,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
4,CHK20050309,2006,18250000,volume,,6.60,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
7,CHK20050309,2005,188590000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.26,weightedaveragedifferential,No,,,,,,,,,,,,,
8,CHK20050309,2006,130140000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.32,weightedaveragedifferential,No,,,,,,,,,,,,,
9,CHK20050309,2007,126495000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
10,CHK20050309,2008,118610000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.27,weightedaveragedifferential,No,,,,,,,,,,,,,
11,CHK20050309,2009,86600000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.29,weightedaveragedifferential,No,,,,,,,,,,,,,
14,CHK20050309,2005,60225000,volume,,6.00,fixedprice to bereceived,4.32,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
15,CHK20050309,2006,28350000,volume,,6.52,fixedprice to bereceived,4.93,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
18,CHK20050309,2006,Neg7300000,volume,,Neg5.59,fixedprice to bereceived,,put,,natural gas (mmbtu),counter swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
21,CHK20050309,2005,7300000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,6.00,call,,weightedaveragedifferential,No,3249,,,,,,,,,,,,
24,CHK20050309,2005,4380000,volume,,,fixedprice to bereceived,3.10,put,,natural gas (mmbtu),collars,4.44,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
27,CHK20050309,2005,38870000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),locked swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
28,CHK20050309,2006,25550000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),locked swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
29,CHK20050309,2007,25550000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),locked swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
36,CHK20050309,2005,1995500,volume,,$40.20,fixedprice to bereceived,$31.44,put,,oil (bbls),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
3,CHK20060314,12006,93030000,volume,,10.60,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
4,CHK20060314,22006,61880000,volume,,9.03,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
5,CHK20060314,32006,62560000,volume,,9.02,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
6,CHK20060314,42006,52155000,volume,,9.42,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
7,CHK20060314,12007,37800000,volume,,10.72,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
8,CHK20060314,22007,20020000,volume,,9.04,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
9,CHK20060314,32007,20240000,volume,,9.04,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
10,CHK20060314,42007,20240000,volume,,9.56,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
11,CHK20060314,12008,14105000,volume,,10.28,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
12,CHK20060314,22008,14105000,volume,,7.94,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
13,CHK20060314,32008,14260000,volume,,7.96,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
14,CHK20060314,42008,14260000,volume,,8.48,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
17,CHK20060314,12006,34200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.33,weightedaveragedifferential,No,,,,,,,,,,,,,
18,CHK20060314,22006,30940000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.31,weightedaveragedifferential,No,,,,,,,,,,,,,
19,CHK20060314,32006,31280000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.31,weightedaveragedifferential,No,,,,,,,,,,,,,
20,CHK20060314,42006,33720000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.32,weightedaveragedifferential,No,,,,,,,,,,,,,
21,CHK20060314,12007,32850000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.29,weightedaveragedifferential,No,,,,,,,,,,,,,
22,CHK20060314,22007,34125000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.35,weightedaveragedifferential,No,,,,,,,,,,,,,
23,CHK20060314,32007,34500000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.35,weightedaveragedifferential,No,,,,,,,,,,,,,
24,CHK20060314,42007,35720000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.32,weightedaveragedifferential,No,,,,,,,,,,,,,
25,CHK20060314,12008,33215000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.29,weightedaveragedifferential,No,,,,,,,,,,,,,
26,CHK20060314,22008,26845000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.25,weightedaveragedifferential,No,,,,,,,,,,,,,
27,CHK20060314,32008,27140000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.25,weightedaveragedifferential,No,,,,,,,,,,,,,
28,CHK20060314,42008,31410000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
29,CHK20060314,12009,26100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.32,weightedaveragedifferential,No,,,,,,,,,,,,,
30,CHK20060314,22009,20020000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
31,CHK20060314,32009,20240000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
32,CHK20060314,42009,20240000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps,,call,Neg0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
35,CHK20060314,12006,7200000,volume,,7.11,fixedprice to bereceived,5.06,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
36,CHK20060314,22006,11830000,volume,,6.84,fixedprice to bereceived,5.13,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
37,CHK20060314,32006,11960000,volume,,6.85,fixedprice to bereceived,5.13,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
38,CHK20060314,42006,11960000,volume,,6.89,fixedprice to bereceived,5.13,put,,natural gas (mmbtu),cap-swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
41,CHK20060314,12006,Neg1800000,volume,,Neg6.19,fixedprice to bereceived,,put,,natural gas (mmbtu),counter swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
42,CHK20060314,22006,Neg1820000,volume,,Neg5.35,fixedprice to bereceived,,put,,natural gas (mmbtu),counter swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
43,CHK20060314,32006,Neg1840000,volume,,Neg5.33,fixedprice to bereceived,,put,,natural gas (mmbtu),counter swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
44,CHK20060314,42006,Neg1840000,volume,,Neg5.50,fixedprice to bereceived,,put,,natural gas (mmbtu),counter swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
47,CHK20060314,12006,1800000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1890,,,,,,,,,,,
48,CHK20060314,22006,1820000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1911,,,,,,,,,,,
49,CHK20060314,32006,1840000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1932,,,,,,,,,,,
50,CHK20060314,42006,1840000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1932,,,,,,,,,,,
51,CHK20060314,12007,1800000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1890,,,,,,,,,,,
52,CHK20060314,22007,1820000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1911,,,,,,,,,,,
53,CHK20060314,32007,1840000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1932,,,,,,,,,,,
54,CHK20060314,42007,1840000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1932,,,,,,,,,,,
55,CHK20060314,12008,1820000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1911,,,,,,,,,,,
56,CHK20060314,22008,1820000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1911,,,,,,,,,,,
57,CHK20060314,32008,1840000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1932,,,,,,,,,,,
58,CHK20060314,42008,1840000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),call options,12.50,call,,weightedaveragedifferential,No,,1932,,,,,,,,,,,
3,CHK20060314,12006,180000,"volume,",,,fixedprice to bereceived,6.00,put,,,collars,9.70,call,,,,,,Yes,,,,,,,,,,
6,CHK20060314,12006,6300000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
7,CHK20060314,22006,6370000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
8,CHK20060314,32006,6440000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
9,CHK20060314,42006,6440000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
10,CHK20060314,12007,6300000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
11,CHK20060314,22007,6370000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
12,CHK20060314,32007,6440000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
13,CHK20060314,42007,6440000,"volume,",,,fixedprice to bereceived,,put,,,locked swaps,,call,,,,,,No,,,,,,,,,,
16,CHK20060314,12006,Neg2700000,"volume,",,Neg7.96,fixedprice to bereceived,,put,,,floating-price swaps,,call,,,,,,No,,,,,,,,,,
22,CHK20060314,12006,900000,"volume,",,60.00,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
23,CHK20060314,22006,880000,"volume,",,59.88,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
24,CHK20060314,32006,828000,"volume,",,60.16,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
25,CHK20060314,42006,828000,"volume,",,59.78,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
26,CHK20060314,12007,360000,"volume,",,57.13,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
27,CHK20060314,22007,91000,"volume,",,51.04,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
28,CHK20060314,32007,92000,"volume,",,50.56,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
29,CHK20060314,42007,92000,"volume,",,50.11,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,Yes,,,,,,,,,,
32,CHK20060314,12006,135000,"volume,",,57.82,fixedprice to bereceived,40.67,put,,oil (bbls),cap-swaps,,call,,,,,,No,,,,,,,,,,
33,CHK20060314,22006,136500,"volume,",,57.82,fixedprice to bereceived,40.67,put,,oil (bbls),cap-swaps,,call,,,,,,No,,,,,,,,,,
34,CHK20060314,32006,138000,"volume,",,57.82,fixedprice to bereceived,40.67,put,,oil (bbls),cap-swaps,,call,,,,,,No,,,,,,,,,,
35,CHK20060314,42006,92000,"volume,",,56.53,fixedprice to bereceived,40.00,put,,oil (bbls),cap-swaps,,call,,,,,,No,,,,,,,,,,
3,CHK20060314,12006,7872500,volume,,4.91,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
4,CHK20060314,22006,10510500,volume,,4.86,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
5,CHK20060314,32006,10626000,volume,,4.86,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
6,CHK20060314,42006,10626000,volume,,4.86,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
7,CHK20060314,12007,10350000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
8,CHK20060314,22007,10465000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
9,CHK20060314,32007,10580000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
10,CHK20060314,42007,10580000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
11,CHK20060314,12008,9555000,volume,,4.68,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
12,CHK20060314,22008,9555000,volume,,4.68,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
13,CHK20060314,32008,9660000,volume,,4.68,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
14,CHK20060314,42008,9660000,volume,,4.66,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
15,CHK20060314,12009,4500000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
16,CHK20060314,22009,4550000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
17,CHK20060314,32009,4600000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
18,CHK20060314,42009,4600000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,Yes,,,,,,,,,,,,,
23,CHK20060314,12009,900000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,Yes,,,,,,,,,,,,,
24,CHK20060314,22009,910000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,Yes,,,,,,,,,,,,,
25,CHK20060314,32009,920000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,Yes,,,,,,,,,,,,,
26,CHK20060314,42009,920000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,Yes,,,,,,,,,,,,,
3,CHK20070301,12007,28520000,volume,,$8.34,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
4,CHK20070301,22007,3930000,volume,,5.55,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
5,CHK20070301,32007,6900000,volume,,6.59,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
6,CHK20070301,42007,6900000,volume,,7.58,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
7,CHK20070301,12008,36172500,volume,,11.03,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
8,CHK20070301,22008,49822500,volume,,8.36,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
9,CHK20070301,32008,50370000,volume,,8.42,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
10,CHK20070301,42008,50370000,volume,,9.03,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
13,CHK20070301,12007,37350000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.36,weightedaveragedifferential,,,,,,,No,,,,,,,,,
14,CHK20070301,22007,34125000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
15,CHK20070301,32007,34500000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
16,CHK20070301,42007,35720000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.32,weightedaveragedifferential,,,,,,,No,,,,,,,,,
17,CHK20070301,12008,33215000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.30,weightedaveragedifferential,,,,,,,No,,,,,,,,,
18,CHK20070301,22008,26845000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.25,weightedaveragedifferential,,,,,,,No,,,,,,,,,
19,CHK20070301,32008,27140000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.25,weightedaveragedifferential,,,,,,,No,,,,,,,,,
20,CHK20070301,42008,31410000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
21,CHK20070301,12009,26100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.32,weightedaveragedifferential,,,,,,,No,,,,,,,,,
22,CHK20070301,22009,20020000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
23,CHK20070301,32009,20240000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
24,CHK20070301,42009,20240000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
27,CHK20070301,12007,9000000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
28,CHK20070301,22007,9100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
29,CHK20070301,32007,9200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
30,CHK20070301,42007,9200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
31,CHK20070301,12008,9100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
32,CHK20070301,22008,9100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
